title,price,link
"HP 15, 13th
                                        Gen Intel Core i5-1334U Laptop(16GB DDR4, 512GB SSD), 15.6""/39.6cm,FHD,Win
                                        11,Office 24,Microsoft 365*, Silver,1.59kg, Iris Xe Graphics, FHD Camera
                                        w/Privacy Shutter, Backlit KB, fd0467tu","58,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTI2MjQzNTg1ODU2MTQ5OjE3NDcxMzg3NjY6c3BfYXRmOjMwMDQ5MTQ0MzY0MTYzMjo6MDo6&url=%2FHP-i5-1334U-Microsoft-Graphics-fd0467tu%2Fdp%2FB0DTK9DZB4%2Fref%3Dsr_1_1_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.Ko5RDE2M3T20zKZkolIpr8OIL56R5_AWj1DiLscewfgmUmsx-08mX4vEbcyVUMw5kSlT2apjrvF9M_Uwa7F9lT_LItznPaFs7MytgmkefKuHFKFqu09NoVAYeerzm_zyWZxJMMg5nCB3noC-oEvNw59RF1tw5XTjBb2_cPwyYPPT7Y1CgnpsVggr8fxaG-kw8auEmTpk-gkP-9Mr1uB6U7nUELbFWWk5Ls6go-oaeuw.p7FvOSGhaaiQQ36qg2GgWhdzhlqL8zeLLso4uX6f17g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138766%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, Flicker-Free, Win 11, Office 21, Mica Silver, 2.29kg, Enhanced Cooling, fa1319TX","78,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3OTI2MjQzNTg1ODU2MTQ5OjE3NDcxMzg3NjY6c3BfYXRmOjMwMDQzMzEzMTAxODQzMjo6MDo6&url=%2FHP-i5-13420H-15-6-inch-Backlit-fa1319TX%2Fdp%2FB0D1YJR2ZY%2Fref%3Dsr_1_2_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.Ko5RDE2M3T20zKZkolIpr8OIL56R5_AWj1DiLscewfgmUmsx-08mX4vEbcyVUMw5kSlT2apjrvF9M_Uwa7F9lT_LItznPaFs7MytgmkefKuHFKFqu09NoVAYeerzm_zyWZxJMMg5nCB3noC-oEvNw59RF1tw5XTjBb2_cPwyYPPT7Y1CgnpsVggr8fxaG-kw8auEmTpk-gkP-9Mr1uB6U7nUELbFWWk5Ls6go-oaeuw.p7FvOSGhaaiQQ36qg2GgWhdzhlqL8zeLLso4uX6f17g%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138766%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"ASUS TUF Gaming A15, 15.6"" (39.62cm) FHD 16:9 144Hz, AMD Ryzen 7 7435HS, Gaming Laptop (16 DDR5/512GB SSD/NVIDIA GeForce RTX 2050/Windows 11 Home/Graphite Black/2.30 Kg), FA506NFR-HN045W","62,990",https://www.amazon.in/ASUS-Gaming-15-6-39-62cm-FA506NFR-HN045W/dp/B0CDQ5CW9V/ref=sr_1_6?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.Ko5RDE2M3T20zKZkolIpr8OIL56R5_AWj1DiLscewfgmUmsx-08mX4vEbcyVUMw5kSlT2apjrvF9M_Uwa7F9lT_LItznPaFs7MytgmkefKuHFKFqu09NoVAYeerzm_zyWZxJMMg5nCB3noC-oEvNw59RF1tw5XTjBb2_cPwyYPPT7Y1CgnpsVggr8fxaG-kw8auEmTpk-gkP-9Mr1uB6U7nUELbFWWk5Ls6go-oaeuw.p7FvOSGhaaiQQ36qg2GgWhdzhlqL8zeLLso4uX6f17g&dib_tag=se&keywords=laptop&qid=1747138766&sprefix=laptop%2Caps%2C262&sr=8-6
"FUTOPIA ULTIMUS PRO Intel Dual Core ~2.8GHz (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U6INC43BN-CS Thin and Light Laptop (14 Inch, Cloud Silver, 1.2 kg)","11,990",https://www.amazon.in/FUTOPIA-ULTIMUS-2-8GHz-Storage-NU14U6INC43BN-CS/dp/B0F26L99HK/ref=sr_1_64?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk&dib_tag=se&keywords=laptop&qid=1747138793&sprefix=laptop%2Caps%2C262&sr=8-64
"HP 15, AMD Ryzen 5 7520U, 16GB DDR5, 512GB SSD, (Win 11, Office 21, Silver, 1.59kg), Anti-Glare, Micro-Edge, 15.6-inch(39.6cm), FHD Laptop, AMD Radeon Graphics, 1080p FHD Camera, Backlit KB, fc0156AU","42,990",https://www.amazon.in/HP-RyzenTM-15-6-inch-Speakers-15s-fc0156AU/dp/B0CY2PLQ8N/ref=sr_1_65?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk&dib_tag=se&keywords=laptop&qid=1747138793&sprefix=laptop%2Caps%2C262&sr=8-65
"HP Victus Gaming Laptop, 12th Gen Intel Core i7-12650H, 4GB RTX 3050 GPU, 15.6-inch (39.6 cm), FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B&O, Dual Speakers (MSO, Silver, 2.29 kg), fa0187TX","74,990",https://www.amazon.in/HP-I7-12650H-Geforce-Technology-15-Fa0187Tx/dp/B0CR6M3RJ5/ref=sr_1_66?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk&dib_tag=se&keywords=laptop&qid=1747138793&sprefix=laptop%2Caps%2C262&sr=8-66
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021","31,990",https://www.amazon.in/Lenovo-Intel-Core-12th-1215U/dp/B0DJCPSV47/ref=sr_1_67?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk&dib_tag=se&keywords=laptop&qid=1747138793&sprefix=laptop%2Caps%2C262&sr=8-67
"Lenovo IdeaPad Pro 5 Intel Evo Core Ultra 9 185H Built-in AI 14"" (35.5cm) 2.8K-OLED 400Nits 120Hz Laptop (32GB/1TB SSD/Intel Arc GPU/Win11/MSO 21/FHD+IR Cam/1Yr ADP Free/Grey/1.4Kg), 83D2001GIN","1,02,990",https://www.amazon.in/Lenovo-IdeaPad-35-56cm-2-8K-OLED-83D2001GIN/dp/B0CY2LDT1S/ref=sr_1_68?crid=4H22E92RYJXX&dib=eyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk&dib_tag=se&keywords=laptop&qid=1747138793&sprefix=laptop%2Caps%2C262&sr=8-68
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB RTX 4050 Gaming Laptop (16GB DDR4, 512GB SSD) 144Hz, IPS, 15.6""/39.6cm, Flicker-Free, Win 11, Office 21, Mica Silver, 2.29kg, Enhanced Cooling, fa1319TX","78,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODAyNTA1MTg1MTUzNzc1OjE3NDcxMzg3OTM6c3BfYnRmOjMwMDQzMzEzMTAxODQzMjo6MDo6&url=%2FHP-i5-13420H-15-6-inch-Backlit-fa1319TX%2Fdp%2FB0D1YJR2ZY%2Fref%3Dsr_1_69_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138793%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
"Lenovo Smartchoice IdeaPad Slim 3 13th Gen Core i7-13620H 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83K100CJIN","67,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3ODAyNTA1MTg1MTUzNzc1OjE3NDcxMzg3OTM6c3BfYnRmOjMwMDUzNDg3MTg3NTIzMjo6MDo6&url=%2FLenovo-Smartchoice-i7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_70_sspa%3Fcrid%3D4H22E92RYJXX%26dib%3DeyJ2IjoiMSJ9.zaixU4rw2sqn0B8d-b86tTpmZv-EENBGxvn3hP83k27yys0Y5ol9hKmpx8rTNEFSrQYMhnAF6Ibnii70ZwTRcNw_sw37himIHJ4tV1SgKfN_VoH9Zb2AWVmPACNNCKHl_50pAAi9uHWuwVantXLZ2IqN0eR53TxxEzp4eWpfIsVE0a75mIC7PpD3-Dwh1wYJYZcQG806IJV4d1ISqFCzJEEeaQ1a3dYxYWsTxrKnaJk.ntIyhgWbzLZCDGd4JWugvkQO5xT0hz99ZB2AwOrWPCk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1747138793%26sprefix%3Dlaptop%252Caps%252C262%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
